,Date,State,Age,HospitalizationRate,DeathRate,CaseRate,Population,Hospitalizations,Deaths,Cases
1034,200913,New Hampshire,5-17 yr,1.096,0.01644,405.9259255,224423.4,2.459680464,0.036895207,910.9927635
1035,200913,New Jersey,5-17 yr,1.096,0.01644,405.9259255,1518074,16.63809104,0.249571366,6162.255935
1036,200913,Ohio,5-17 yr,1.096,0.01644,405.9259255,2042998.8,22.39126685,0.335869003,8293.061787
1037,200913,Oklahoma,5-17 yr,1.096,0.01644,405.9259255,660508.4,7.239172064,0.108587581,2681.174836
1038,200913,North Carolina,5-17 yr,1.096,0.01644,405.9259255,1626690.4,17.82852678,0.267427902,6603.158062
1039,200913,Rhode Island,5-17 yr,1.096,0.01644,405.9259255,176367.2,1.932984512,0.028994768,715.9201889
1040,200913,South Carolina,5-17 yr,1.096,0.01644,405.9259255,782308.4,8.574100064,0.128611501,3175.592613
1041,200913,Alabama,5-17 yr,1.096,0.01644,405.9259255,834044.4,9.141126624,0.137116899,3385.60245
1042,200913,Alaska,5-17 yr,1.096,0.01644,405.9259255,133090.6,1.458672976,0.021880095,540.2492498
1043,200913,Arizona,5-17 yr,1.096,0.01644,405.9259255,1152095.4,12.62696558,0.189404484,4676.653915
1044,200913,Arkansas,5-17 yr,1.096,0.01644,405.9259255,513268.2,5.625419472,0.084381292,2083.488691
1045,200913,Delaware,5-17 yr,1.096,0.01644,405.9259255,150672.6,1.651371696,0.024770575,611.6191461
1046,200913,Florida,5-17 yr,1.096,0.01644,405.9259255,2941416.6,32.23792594,0.483568889,11939.97256
1047,200913,Idaho,5-17 yr,1.096,0.01644,405.9259255,299810,3.2859176,0.049288764,1217.006517
1048,200913,Illinois,5-17 yr,1.096,0.01644,405.9259255,2307020.8,25.28494797,0.37927422,9364.795534
1049,200913,Indiana,5-17 yr,1.096,0.01644,405.9259255,1178279.2,12.91394003,0.1937091,4782.940748
1050,200913,Iowa,5-17 yr,1.096,0.01644,405.9259255,530133.2,5.810259872,0.087153898,2151.948099
1051,200913,Kansas,5-17 yr,1.096,0.01644,405.9259255,518957.8,5.687777488,0.085316662,2106.584253
1052,200913,Louisiana,5-17 yr,1.096,0.01644,405.9259255,804061.8,8.812517328,0.13218776,3263.895303
1053,200913,Maine,5-17 yr,1.096,0.01644,405.9259255,211918.6,2.322627856,0.034839418,860.2325384
1054,200913,Massachusetts,5-17 yr,1.096,0.01644,405.9259255,1079037.2,11.82624771,0.177393716,4380.091741
1055,200913,Michigan,5-17 yr,1.096,0.01644,405.9259255,1809299.4,19.82992142,0.297448821,7344.415335
1056,200913,Mississippi,5-17 yr,1.096,0.01644,405.9259255,552106.4,6.051086144,0.090766292,2241.143014
1057,200913,Kentucky,5-17 yr,1.096,0.01644,405.9259255,743934,8.15351664,0.12230275,3019.820975
1058,200913,Hawaii,5-17 yr,1.096,0.01644,405.9259255,213311.8,2.337897328,0.03506846,865.8878984
1059,200913,Utah,5-17 yr,1.096,0.01644,405.9259255,581788.2,6.376398672,0.09564598,2361.629135
1060,200913,Virginia,5-17 yr,1.096,0.01644,405.9259255,1346567.4,14.7583787,0.221375681,5466.066181
1061,200913,Nevada,5-17 yr,1.096,0.01644,405.9259255,464769.2,5.093870432,0.076408056,1886.618677
1062,200913,South Dakota,5-17 yr,1.096,0.01644,405.9259255,143512.6,1.572898096,0.023593471,582.5548498
1063,200913,North Dakota,5-17 yr,1.096,0.01644,405.9259255,108899.8,1.193541808,0.017903127,442.052521
1064,200913,Pennsylvania,5-17 yr,1.096,0.01644,405.9259255,2114664.4,23.17672182,0.347650827,8583.971037
1065,200913,District of Columbia,5-17 yr,1.096,0.01644,405.9259255,78986.2,0.865688752,0.012985331,320.6254634
1066,200913,Texas,18-49 yr,0,0,0,11109566.7,0,0,0
1067,200913,Vermont,18-49 yr,0,0,0,266610.4,0,0,0
1068,200913,Washington,18-49 yr,0,0,0,2951416.4,0,0,0
1069,200913,West Virginia,18-49 yr,0,0,0,768010,0,0,0
1070,200913,Wisconsin,18-49 yr,0,0,0,2452069.5,0,0,0
1071,200913,Wyoming,18-49 yr,0,0,0,236886.5,0,0,0
1072,200913,Missouri,18-49 yr,0,0,0,2556386.4,0,0,0
1073,200913,Montana,18-49 yr,0,0,0,404965.1,0,0,0
1074,200913,Nebraska,18-49 yr,0,0,0,775117.5,0,0,0
1075,200913,New Hampshire,18-49 yr,0,0,0,569070.1,0,0,0
1076,200913,New Jersey,18-49 yr,0,0,0,3834023,0,0,0
1077,200913,Ohio,18-49 yr,0,0,0,4923051.7,0,0,0
1078,200913,Oklahoma,18-49 yr,0,0,0,1588709.6,0,0,0
1079,200913,North Carolina,18-49 yr,0,0,0,4121743.6,0,0,0
1080,200913,Rhode Island,18-49 yr,0,0,0,467492.8,0,0,0
1081,200913,South Carolina,18-49 yr,0,0,0,1966258.6,0,0,0
1082,200913,Alabama,18-49 yr,0,0,0,2040977.6,0,0,0
1083,200913,Alaska,18-49 yr,0,0,0,322742.4,0,0,0
1084,200913,Arizona,18-49 yr,0,0,0,2705911.6,0,0,0
1085,200913,Arkansas,18-49 yr,0,0,0,1222074.3,0,0,0
1086,200913,Delaware,18-49 yr,0,0,0,382071.9,0,0,0
1087,200913,Florida,18-49 yr,0,0,0,7795441.4,0,0,0
1088,200913,Idaho,18-49 yr,0,0,0,652815.5,0,0,0
1089,200913,Illinois,18-49 yr,0,0,0,5710131.2,0,0,0
1090,200913,Indiana,18-49 yr,0,0,0,2797520.3,0,0,0
1091,200913,Iowa,18-49 yr,0,0,0,1271838.8,0,0,0
1092,200913,Kansas,18-49 yr,0,0,0,1210032.2,0,0,0
1093,200913,Louisiana,18-49 yr,0,0,0,1960625.7,0,0,0
1094,200913,Maine,18-49 yr,0,0,0,552579.9,0,0,0
1095,200913,Massachusetts,18-49 yr,0,0,0,2900973.8,0,0,0
1096,200913,Michigan,18-49 yr,0,0,0,4270193.1,0,0,0
1097,200913,Mississippi,18-49 yr,0,0,0,1275007.1,0,0,0
1098,200913,Kentucky,18-49 yr,0,0,0,1877004,0,0,0
1099,200913,Hawaii,18-49 yr,0,0,0,585515.7,0,0,0
1100,200913,Utah,18-49 yr,0,0,0,1212903.3,0,0,0
1101,200913,Virginia,18-49 yr,0,0,0,3566243.1,0,0,0
1102,200913,Nevada,18-49 yr,0,0,0,1194621.3,0,0,0
1103,200913,South Dakota,18-49 yr,0,0,0,336090.9,0,0,0
1104,200913,North Dakota,18-49 yr,0,0,0,288984.2,0,0,0
1105,200913,Pennsylvania,18-49 yr,0,0,0,5351867.1,0,0,0
1106,200913,District of Columbia,18-49 yr,0,0,0,306463.8,0,0,0
1107,200913,Texas,50-64 yr,0.8905,0.05343,80.95454465,4064726.5,36.19638948,2.171783369,3290.580829
1108,200913,Vermont,50-64 yr,0.8905,0.05343,80.95454465,135793,1.209236665,0.0725542,109.9306048
1109,200913,Washington,50-64 yr,0.8905,0.05343,80.95454465,1268892,11.29948326,0.677968996,1027.225741
1110,200913,West Virginia,50-64 yr,0.8905,0.05343,80.95454465,389307,3.466778835,0.20800673,315.1617091
1111,200913,Wisconsin,50-64 yr,0.8905,0.05343,80.95454465,1086799.5,9.677949548,0.580676973,879.8135864
1112,200913,Wyoming,50-64 yr,0.8905,0.05343,80.95454465,110561.5,0.984550158,0.059073009,89.50455888
1113,200913,Missouri,50-64 yr,0.8905,0.05343,80.95454465,1121664,9.98841792,0.599305075,908.0379836
1114,200913,Montana,50-64 yr,0.8905,0.05343,80.95454465,205401.5,1.829100358,0.109746021,166.281849
1115,200913,Nebraska,50-64 yr,0.8905,0.05343,80.95454465,328830.5,2.928235603,0.175694136,266.2032339
1116,200913,New Hampshire,50-64 yr,0.8905,0.05343,80.95454465,277817.5,2.473964838,0.14843789,224.9058921
1117,200913,New Jersey,50-64 yr,0.8905,0.05343,80.95454465,1666759,14.8424889,0.890549334,1349.317159
